company,country,product_category,brand_name,contact_name,email_address,address,license_number,certification_body,expiry_date,product_details
Agami Apparels Limited,Bangladesh (BD),"Babywear, Children's wear, Ladieswear, Men's wear, Product category (other)",,,,"Nayapara, Kathgara, Ashulia, Savar, Dhaka-1341, Bangladesh",00053274,CCPB Certificazione e Controllo Prodotti Biologici ltd,2024-02-25,"Babies' clothing (PD0013)
Babies` apparel (PC0003) Product details: Overcoats
Children`s apparel (PC0004)
Children`s denim apparel (PC0008)
Dresses
Men`s apparel (PC0001)
Men`s denim apparel (PC0006)
Pants
Product categories: Women`s denim apparel (PC0007)
Shirts
Unisex apparel (PC0005)
Women`s apparel (PC0002)
blouses (PD0005)
jackets
skirts (PD0011)
trousers (PD0003)
vests (PD0001)"
Agami Washing Ltd.,Bangladesh (BD),"Babywear, Children's wear, Ladieswear, Men's wear, Non-wovens",,,,"H-79/1, Chandra, Kaliakoir, 1751, Gazipur, BD-C, Bangladesh, BD",GOTS-20200495,GSCS,2024-01-24,"Shirts
blouses (PD0005) Pants
jackets
robes (PD0006) Activewear
skirts (PD0011)
sleepwear
sportswear (PD0008) Dresses
trousers (PD0003) Overcoats
vests (PD0001) Babies' clothing (PD0013) Undergarment"
Agaoglu Tekstil Sanayi ve Ticaret A.S.,Turkey (TR),Fabrics,,,,"Şehit Ali Çınar Sokak, No:6/A Sarayaltı Mahallesi",151728,Ecocert Greenlife,2024-06-30,Woven fabrics (PD0059)
AGGARWAL FIBRES PRIVATE LIMITED,India (IN),Yarns,,,,"PASSINA KALAN ROAD, NEAR VIKAS SPINNING MILL, BEHOLI",234646,Intertek Testing Services,2024-11-10,
Agile Srl,Italy (IT),Fabrics,,,,Via del Vicano 02,CU1215816,Control Union Certifications,2024-04-13,
Agnee Innovates Private Limited,India (IN),Home Textiles,,Mr. Ram Dular Yadav,compliance@agniexports.com,"F-112, RIICO, Apparail Park, Mahal Road, Jagatpura,",CU 1212315,Control Union Certifications,2024-01-17,"Home textiles (PC0010) Carpets
floor coverings (PD0022) -100.0%Organic Cotton (RM0104)
rugs"
Agneya Products (Cotton) Private Limited,India (IN),Product category (other),,,,"F-66-67, RIICO Industrial Area,",196759,Intertek Testing Services,2024-02-05,Lint cotton
agolab srl,Italy (IT),Accessories,,,,via f.lli cervi 58,CU1095800,Control Union Certifications,2024-03-15,
Agrasen Cotton Industries,India (IN),Raw Fibres,,,,"X, Narela Road, Bamniya,",204344,Intertek Testing Services,2024-05-29,
Agrawal Cotton Organic,India (IN),Product category (other),,,,"Survey No. 515, 516 & 519, Jobat Alirajpur Main Road,",194905-GOTS,Intertek Testing Services,2024-01-16,Lint cotton
